date,home_team,away_team,home_team_full,away_team_full,home_odds_dec,draw_odds_dec,away_odds_dec,home_implied,away_implied
2025-10-28,COL,NJD,Colorado Avalanche,New Jersey Devils,1.85,4.33,2.9,48.4,30.9
2025-10-28,CHI,OTT,Chicago Blackhawks,Ottawa Senators,2.8,3.9,2.0,32.1,44.9
2025-10-28,EDM,UTA,Edmonton Oilers,Utah Mammoth,1.95,4.0,2.8,45.8,31.9
2025-10-28,STL,DET,St. Louis Blues,Detroit Red Wings,2.38,3.8,2.3,37.6,38.9
2025-10-28,MIN,WPG,Minnesota Wild,Winnipeg Jets,2.4,3.8,2.3,37.4,39.0
2025-10-28,NSH,TBL,Nashville Predators,Tampa Bay Lightning,3.1,4.2,1.85,29.3,49.1
2025-10-28,BOS,NYI,Boston Bruins,NY Islanders,2.6,4.2,2.05,34.6,43.9
2025-10-28,FLA,ANA,Florida Panthers,Anaheim Ducks,1.75,4.2,3.2,50.9,27.9
2025-10-28,DAL,WSH,Dallas Stars,Washington Capitals,2.15,4.0,2.5,41.7,35.9
2025-10-29,CBJ,TOR,Columbus Blue Jackets,Toronto Maple Leafs,2.2,4.0,2.5,41.2,36.2
2025-10-30,STL,VAN,St. Louis Blues,Vancouver Canucks,1.85,4.0,3.0,48.1,29.7
2025-10-30,LAK,DET,Los Angeles Kings,Detroit Red Wings,2.0,3.9,2.8,44.9,32.1
2025-10-30,SJS,NJD,San Jose Sharks,New Jersey Devils,3.5,4.6,1.65,25.8,54.6
2025-10-30,VGK,COL,Vegas Golden Knights,Colorado Avalanche,2.5,3.9,2.15,35.7,41.5
2025-10-30,EDM,NYR,Edmonton Oilers,NY Rangers,2.0,4.0,2.75,44.9,32.7
2025-10-30,MIN,PIT,Minnesota Wild,Pittsburgh Penguins,1.85,4.2,3.0,48.6,30.0
2025-10-30,TBL,DAL,Tampa Bay Lightning,Dallas Stars,2.05,4.0,2.62,43.6,34.1
2025-10-30,CAR,NYI,Carolina Hurricanes,NY Islanders,1.67,4.5,3.6,54.5,25.3
2025-10-30,BOS,BUF,Boston Bruins,Buffalo Sabres,2.5,4.0,2.15,35.9,41.7
2025-10-30,PHI,NSH,Philadelphia Flyers,Nashville Predators,2.05,4.0,2.62,43.6,34.1
2025-10-30,OTT,CGY,Ottawa Senators,Calgary Flames,1.91,4.2,2.8,46.8,31.9
2025-10-30,WPG,CHI,Winnipeg Jets,Chicago Blackhawks,1.7,4.33,3.5,53.2,25.9
2025-10-31,FLA,DAL,Florida Panthers,Dallas Stars,2.05,4.0,2.75,44.3,33.0
2025-10-31,WSH,NYI,Washington Capitals,NY Islanders,1.65,4.2,3.8,54.7,23.8
2025-10-31,ANA,DET,Anaheim Ducks,Detroit Red Wings,2.1,3.9,2.62,42.7,34.3
2025-10-31,BOS,CAR,Boston Bruins,Carolina Hurricanes,3.2,4.4,1.75,28.1,51.4
2025-10-31,WPG,PIT,Winnipeg Jets,Pittsburgh Penguins,1.8,4.2,3.1,49.8,28.9
2025-10-31,NSH,CGY,Nashville Predators,Calgary Flames,2.2,4.0,2.5,41.2,36.2
2025-10-31,SJS,COL,San Jose Sharks,Colorado Avalanche,3.8,4.5,1.62,23.9,56.0
2025-11-01,UTA,TBL,Utah Mammoth,Tampa Bay Lightning,2.38,4.0,2.3,38.0,39.3
2025-11-01,SEA,NYR,Seattle Kraken,NY Rangers,2.7,4.0,2.05,33.4,44.0
2025-11-01,NYI,CBJ,NY Islanders,Columbus Blue Jackets,2.0,4.2,2.7,45.1,33.4
2025-11-01,EDM,CHI,Edmonton Oilers,Chicago Blackhawks,1.5,4.5,4.75,60.6,19.1
2025-11-01,LAK,NJD,Los Angeles Kings,New Jersey Devils,2.2,4.0,2.45,40.9,36.7
2025-11-01,CBJ,STL,Columbus Blue Jackets,St. Louis Blues,1.91,4.2,2.8,46.8,31.9
2025-11-01,PHI,TOR,Philadelphia Flyers,Toronto Maple Leafs,2.45,4.0,2.25,37.0,40.3
2025-11-01,BUF,WSH,Buffalo Sabres,Washington Capitals,2.15,4.0,2.5,41.7,35.9
2025-11-01,MIN,VAN,Minnesota Wild,Vancouver Canucks,1.85,4.2,3.0,48.6,30.0
2025-11-01,MTL,OTT,Montreal Canadiens,Ottawa Senators,2.2,4.0,2.5,41.2,36.2
2025-11-02,PHI,CGY,Philadelphia Flyers,Calgary Flames,2.15,4.0,2.6,42.3,35.0
2025-11-02,ANA,NJD,Anaheim Ducks,New Jersey Devils,2.5,4.2,2.15,36.3,42.2
2025-11-02,SJS,DET,San Jose Sharks,Detroit Red Wings,3.3,4.5,1.75,27.6,52.1
2025-11-03,TOR,PIT,Toronto Maple Leafs,Pittsburgh Penguins,1.75,4.4,3.2,51.4,28.1
2025-11-03,STL,EDM,St. Louis Blues,Edmonton Oilers,2.6,4.2,2.1,35.0,43.3
2025-11-03,NSH,VAN,Nashville Predators,Vancouver Canucks,2.25,4.0,2.45,40.3,37.0
2025-11-03,SEA,CHI,Seattle Kraken,Chicago Blackhawks,1.95,4.0,2.9,46.3,31.1
2025-11-04,VGK,DET,Vegas Golden Knights,Detroit Red Wings,1.75,4.4,3.25,51.6,27.8
2025-11-04,LAK,WPG,Los Angeles Kings,Winnipeg Jets,2.1,4.0,2.62,43.0,34.5
2025-11-04,ANA,FLA,Anaheim Ducks,Florida Panthers,2.9,4.2,1.91,31.2,47.3
2025-11-04,COL,TBL,Colorado Avalanche,Tampa Bay Lightning,1.95,4.2,2.8,46.3,32.2
2025-11-04,MIN,NSH,Minnesota Wild,Nashville Predators,1.65,4.5,3.6,54.8,25.1
2025-11-04,BUF,UTA,Buffalo Sabres,Utah Mammoth,2.62,4.2,2.1,34.8,43.4
2025-11-04,NYI,BOS,NY Islanders,Boston Bruins,1.85,4.2,3.0,48.6,30.0
2025-11-04,MTL,PHI,Montreal Canadiens,Philadelphia Flyers,1.91,4.0,2.9,46.8,30.8
2025-11-04,NYR,CAR,NY Rangers,Carolina Hurricanes,2.45,4.0,2.25,37.0,40.3
2025-11-04,DAL,EDM,Dallas Stars,Edmonton Oilers,2.15,4.0,2.5,41.7,35.9
2025-11-05,SEA,SJS,Seattle Kraken,San Jose Sharks,1.85,4.2,3.0,48.6,30.0
2025-11-05,TOR,UTA,Toronto Maple Leafs,Utah Mammoth,1.85,4.2,2.9,48.1,30.7
2025-11-05,WSH,STL,Washington Capitals,St. Louis Blues,2.0,4.2,2.8,45.7,32.6
2025-11-05,CGY,CBJ,Calgary Flames,Columbus Blue Jackets,2.25,4.0,2.45,40.3,37.0
2025-11-05,VAN,CHI,Vancouver Canucks,Chicago Blackhawks,1.85,4.2,2.9,48.1,30.7
2025-11-06,DAL,ANA,Dallas Stars,Anaheim Ducks,1.8,4.2,3.1,49.8,28.9
2025-11-06,NSH,PHI,Nashville Predators,Philadelphia Flyers,2.15,4.0,2.5,41.7,35.9
2025-11-06,PIT,WSH,Pittsburgh Penguins,Washington Capitals,2.38,4.0,2.3,38.0,39.3
2025-11-06,VGK,TBL,Vegas Golden Knights,Tampa Bay Lightning,2.2,4.0,2.5,41.2,36.2
2025-11-06,NJD,MTL,New Jersey Devils,Montreal Canadiens,1.95,4.2,2.8,46.3,32.2
2025-11-06,CAR,MIN,Carolina Hurricanes,Minnesota Wild,1.75,4.5,3.25,51.9,27.9
2025-11-06,BUF,STL,Buffalo Sabres,St. Louis Blues,2.05,4.0,2.7,44.0,33.4
2025-11-06,BOS,OTT,Boston Bruins,Ottawa Senators,2.8,4.2,1.95,32.2,46.3
2025-11-06,LAK,FLA,Los Angeles Kings,Florida Panthers,2.3,4.0,2.4,39.5,37.8
2025-11-07,PHI,OTT,Philadelphia Flyers,Ottawa Senators,2.45,4.0,2.25,37.0,40.3
2025-11-07,NSH,DAL,Nashville Predators,Dallas Stars,2.9,4.0,1.95,31.1,46.3
2025-11-07,NJD,PIT,New Jersey Devils,Pittsburgh Penguins,1.75,4.5,3.3,52.1,27.6
2025-11-07,DET,NYR,Detroit Red Wings,NY Rangers,2.2,4.0,2.5,41.2,36.2
